dataset,config,seed,classifier,accuracy,macro_f1
Lung,ShortDE_HC,0,DT,0.8526,0.7145
Lung,ShortDE_HC,0,RF,0.9111,0.7874
Lung,ShortDE_HC,1,SVM,0.9607,0.9122
Lung,ShortDE_HC,1,KNN,0.9557,0.8727
Lung,ShortDE_HC,1,NB,0.9607,0.9131
Lung,ShortDE_HC,1,DT,0.8671,0.6889
Lung,ShortDE_HC,1,RF,0.9311,0.8294
Lung,ShortDE_HC,2,SVM,0.9606,0.9146
Lung,ShortDE_HC,2,KNN,0.9654,0.9179
Lung,ShortDE_HC,2,NB,0.9557,0.9206
Lung,ShortDE_HC,2,DT,0.8477,0.6979
Lung,ShortDE_HC,2,RF,0.9311,0.8323
Lung,FilterHC,0,SVM,0.9604,0.9079
Lung,FilterHC,0,KNN,0.9555,0.9044
Lung,FilterHC,0,NB,0.9454,0.8467
Lung,FilterHC,0,DT,0.7880,0.6135
Lung,FilterHC,0,RF,0.9259,0.7818
Lung,FilterHC,1,SVM,0.9606,0.9122
Lung,FilterHC,1,KNN,0.9557,0.9051
Lung,FilterHC,1,NB,0.9559,0.8675
Lung,FilterHC,1,DT,0.8818,0.7619
Lung,FilterHC,1,RF,0.9460,0.8885
Lung,FilterHC,2,SVM,0.9556,0.9075
Lung,FilterHC,2,KNN,0.9654,0.9214
Lung,FilterHC,2,NB,0.9509,0.8876
Lung,FilterHC,2,DT,0.8374,0.6204
Lung,FilterHC,2,RF,0.9407,0.8715
Breast,NoSelection,0,SVM,0.7115,0.7079
Breast,NoSelection,0,KNN,0.5259,0.4869
Breast,NoSelection,0,NB,0.6389,0.6136
Breast,NoSelection,0,DT,0.5249,0.5159
Breast,NoSelection,0,RF,0.7008,0.6897
Breast,NoSelection,1,SVM,0.6695,0.6643
Breast,NoSelection,1,KNN,0.5559,0.5302
Breast,NoSelection,1,NB,0.5666,0.5119
Breast,NoSelection,1,DT,0.4429,0.4285
Breast,NoSelection,1,RF,0.6285,0.6214
Breast,NoSelection,2,SVM,0.6487,0.6416
Breast,NoSelection,2,KNN,0.5366,0.5088
Breast,NoSelection,2,NB,0.5874,0.5510
Breast,NoSelection,2,DT,0.5256,0.5182
Breast,NoSelection,2,RF,0.6600,0.6558
Breast,LongDE,0,SVM,0.6919,0.6878
Breast,LongDE,0,KNN,0.6089,0.5978
Breast,LongDE,0,NB,0.6490,0.6322
Breast,LongDE,0,DT,0.6386,0.6239
Breast,LongDE,0,RF,0.7112,0.7044
Breast,LongDE,1,SVM,0.6607,0.6555
Breast,LongDE,1,KNN,0.5660,0.5586
Breast,LongDE,1,NB,0.6080,0.5887
Breast,LongDE,1,DT,0.6386,0.6367
Breast,LongDE,1,RF,0.6907,0.6806
Breast,LongDE,2,SVM,0.6480,0.6460
Breast,LongDE,2,KNN,0.6301,0.6130
Breast,LongDE,2,NB,0.5878,0.5682
Breast,LongDE,2,DT,0.4751,0.4682
Breast,LongDE,2,RF,0.6395,0.6385
Breast,ShortDE,0,SVM,0.6812,0.6738
Breast,ShortDE,0,KNN,0.5985,0.5842
Breast,ShortDE,0,NB,0.6285,0.6136
Breast,ShortDE,0,DT,0.5660,0.5461
Breast,ShortDE,0,RF,0.6907,0.6845
Breast,ShortDE,1,SVM,0.7011,0.6959
Breast,ShortDE,1,KNN,0.6386,0.6241
Breast,ShortDE,1,NB,0.6799,0.6607
Breast,ShortDE,1,DT,0.6288,0.6265
Breast,ShortDE,1,RF,0.7415,0.7316
Breast,ShortDE,2,SVM,0.6278,0.6257
Breast,ShortDE,2,KNN,0.6402,0.6208
Breast,ShortDE,2,NB,0.5878,0.5648
Breast,ShortDE,2,DT,0.5155,0.5120
Breast,ShortDE,2,RF,0.6496,0.6463
Breast,ShortDE_HC,0,SVM,0.6913,0.6834
Breast,ShortDE_HC,0,KNN,0.5682,0.5538
Breast,ShortDE_HC,0,NB,0.6285,0.6136
Breast,ShortDE_HC,0,DT,0.5552,0.5389
Breast,ShortDE_HC,0,RF,0.7109,0.7001
Breast,ShortDE_HC,1,SVM,0.7011,0.6959
Breast,ShortDE_HC,1,KNN,0.6080,0.5934
Breast,ShortDE_HC,1,NB,0.6799,0.6607
Breast,ShortDE_HC,1,DT,0.5884,0.5824
Breast,ShortDE_HC,1,RF,0.6493,0.6320
Breast,ShortDE_HC,2,SVM,0.6278,0.6257
Breast,ShortDE_HC,2,KNN,0.6402,0.6208
Breast,ShortDE_HC,2,NB,0.5878,0.5648
Breast,ShortDE_HC,2,DT,0.5666,0.5628
Breast,ShortDE_HC,2,RF,0.6294,0.6236
Breast,FilterHC,0,SVM,0.7017,0.6939
Breast,FilterHC,0,KNN,0.5470,0.5311
Breast,FilterHC,0,NB,0.6288,0.6120
Breast,FilterHC,0,DT,0.5451,0.5388
Breast,FilterHC,0,RF,0.7014,0.6956
Breast,FilterHC,1,SVM,0.7004,0.6937
Breast,FilterHC,1,KNN,0.5773,0.5619
Breast,FilterHC,1,NB,0.6282,0.5962
Breast,FilterHC,1,DT,0.4848,0.4720
Breast,FilterHC,1,RF,0.6705,0.6588
Breast,FilterHC,2,SVM,0.6591,0.6576
Breast,FilterHC,2,KNN,0.6089,0.5854
Breast,FilterHC,2,NB,0.6288,0.6133
Breast,FilterHC,2,DT,0.4735,0.4652
Breast,FilterHC,2,RF,0.6294,0.6256
CNS,NoSelection,0,SVM,0.6833,0.5931
CNS,NoSelection,0,KNN,0.6500,0.6347
CNS,NoSelection,0,NB,0.7000,0.6580
CNS,NoSelection,0,DT,0.6667,0.6262
CNS,NoSelection,0,RF,0.6000,0.4321
CNS,NoSelection,1,SVM,0.6167,0.5615
CNS,NoSelection,1,KNN,0.5667,0.5028
CNS,NoSelection,1,NB,0.5667,0.5291
CNS,NoSelection,1,DT,0.7167,0.6639
CNS,NoSelection,1,RF,0.5833,0.4203
CNS,NoSelection,2,SVM,0.6667,0.5990
CNS,NoSelection,2,KNN,0.6667,0.6406
CNS,NoSelection,2,NB,0.6500,0.5871
CNS,NoSelection,2,DT,0.6167,0.5962
CNS,NoSelection,2,RF,0.6333,0.4500
CNS,LongDE,0,SVM,0.5833,0.5209
CNS,LongDE,0,KNN,0.7167,0.6961
CNS,LongDE,0,NB,0.6000,0.5588
CNS,LongDE,0,DT,0.6167,0.5638
CNS,LongDE,0,RF,0.6333,0.4185
CNS,LongDE,1,SVM,0.6667,0.6374
